intron_id,sa.eff
Os01g0100100.intron1,288
Os01g0100100.intron2,8162
Os01g0100100.intron3,17596
Os01g0100100.intron4,23760
Os01g0100100.intron5,424
Os01g0100100.intron6,502
Os01g0100100.intron7,4022
Os01g0100100.intron8,12873
Os01g0100100.intron9,5101
Os01g0100100.intron10,946
Os01g0100100.intron11,408
Os01g0100200.intron1,0
Os01g0100300.intron1,0
Os01g0100400.intron1,0
Os01g0100400.intron2,0
Os01g0100400.intron3,0
Os01g0100400.intron4,0
Os01g0100466.intron1,0
Os01g0100500.intron1,6463
Os01g0100500.intron2,1356
Os01g0100500.intron3,11985
Os01g0100500.intron4,7179
Os01g0100500.intron5,604
Os01g0100500.intron6,1863
Os01g0100500.intron7,1565
Os01g0100600.intron1,10663
Os01g0100600.intron2,5207
Os01g0100600.intron3,24124
Os01g0100600.intron4,25692
Os01g0100600.intron5,1803
Os01g0100700.intron1,2558
Os01g0100700.intron2,17081
Os01g0100700.intron3,1804
Os01g0100800.intron1,3164
Os01g0100800.intron2,8709
Os01g0100800.intron3,2277
Os01g0100800.intron4,22462
Os01g0100800.intron5,5943
Os01g0100800.intron6,44298
Os01g0100800.intron7,1174
Os01g0100800.intron8,9072
Os01g0100800.intron9,5187
Os01g0100800.intron10,28984
Os01g0100800.intron11,3011
Os01g0100800.intron12,3883
Os01g0100800.intron13,28984
Os01g0100900.intron1,44464
Os01g0100900.intron2,469669
Os01g0100900.intron3,176040
Os01g0100900.intron4,857628
Os01g0100900.intron5,90772
Os01g0100900.intron6,347894
Os01g0100900.intron7,66443
Os01g0100900.intron8,1023732
Os01g0100900.intron9,135505
Os01g0100900.intron10,294853
Os01g0100900.intron11,44240
Os01g0100900.intron12,246624
Os01g0100900.intron13,48457
Os01g0100900.intron14,90187
Os01g0101200.intron1,0
Os01g0101200.intron2,0
Os01g0101200.intron3,0
Os01g0101200.intron4,0
Os01g0101200.intron5,0
Os01g0101200.intron6,0
Os01g0101300.intron1,390
Os01g0101300.intron2,3091
Os01g0101300.intron3,342
Os01g0101300.intron4,327
Os01g0101300.intron5,3508
Os01g0101300.intron6,1093
Os01g0101600.intron1,38275
Os01g0101600.intron2,37530
Os01g0101600.intron3,7514
Os01g0101600.intron4,38275
Os01g0101600.intron5,37530
Os01g0101700.intron1,268
Os01g0101800.intron1,0
Os01g0101800.intron2,0
Os01g0101800.intron3,1452
Os01g0101800.intron4,0
Os01g0101800.intron5,0
Os01g0101800.intron6,252
Os01g0101850.intron1,0
Os01g0101850.intron2,0
Os01g0101850.intron3,0
Os01g0102300.intron1,1076
Os01g0102300.intron2,348
Os01g0102400.intron1,0
Os01g0102500.intron1,196379
Os01g0102500.intron2,27414
Os01g0102500.intron3,19869
Os01g0102600.intron1,0
Os01g0102600.intron2,510
Os01g0102600.intron3,630
Os01g0102600.intron4,963
Os01g0102600.intron5,747
Os01g0102600.intron6,1800
Os01g0102600.intron7,0
Os01g0102600.intron8,0
Os01g0102600.intron9,0
Os01g0102600.intron10,0
Os01g0102700.intron1,313871
Os01g0102700.intron2,9723
Os01g0102700.intron3,13594
Os01g0102700.intron4,18758
Os01g0102800.intron1,330
Os01g0102800.intron2,3061
Os01g0102800.intron3,480
Os01g0102850.intron1,72003
Os01g0102900.intron1,410
Os01g0102900.intron2,822
Os01g0103000.intron1,175
Os01g0103000.intron2,0
Os01g0103000.intron3,3060
Os01g0103000.intron4,607
Os01g0103000.intron5,0
Os01g0103000.intron6,0
Os01g0103600.intron1,5579
Os01g0103600.intron2,3770
Os01g0103600.intron3,282766
Os01g0103600.intron4,5579
Os01g0103600.intron5,3770
Os01g0103650.intron1,0
Os01g0103650.intron2,0
Os01g0103700.intron1,8256
Os01g0103700.intron2,9673
Os01g0103700.intron3,6855
Os01g0103700.intron4,513
Os01g0103700.intron5,164
Os01g0103800.intron1,33
Os01g0103800.intron2,357
Os01g0103800.intron3,2606
Os01g0103900.intron1,0
Os01g0103900.intron2,1932
Os01g0103900.intron3,0
Os01g0103900.intron4,0
Os01g0103900.intron5,0
Os01g0103900.intron6,1800
Os01g0103900.intron7,0
Os01g0103900.intron8,0
Os01g0103900.intron9,200
Os01g0103900.intron10,0
Os01g0103900.intron11,259
Os01g0104000.intron1,8881
Os01g0104000.intron2,3117
Os01g0104000.intron3,13653
Os01g0104000.intron4,8881
Os01g0104000.intron5,3162
Os01g0104000.intron6,13653
Os01g0104100.intron1,41725
Os01g0104100.intron2,4570
Os01g0104100.intron3,3101
Os01g0104100.intron4,74698
Os01g0104100.intron5,3444
Os01g0104100.intron6,88632
Os01g0104100.intron7,2627
Os01g0104100.intron8,41725
